Time,aspect,swell,period,secD,secS,secP,secD,wdir,wspd,gust,tide,rating,Beach,Reef,Point
12am,247,3,14,270,3,14,292,45,7,10,4.84,4,1,0,0
3a,247,3.5,13,270,3.5,13,292,0,10,14,0.46,3,1,0,0
6a,247,4.5,13,292,4.5,13,292,22,5,8,0.79,3,1,0,0
9a,247,5,13,292,5,13,292,22,3,4,5.17,4,1,0,0
12p,247,3,17,292,3,17,292,337,6,8,6.07,4,1,0,0
3p,247,4.5,17,292,4.5,17,292,315,8,10,2.5,4,1,0,0
6p,247,2,16,292,2,16,225,0,4,6,1.96,5,1,0,0
9p,247,2,16,292,2,16,225,112,2,2,5.79,5,1,0,0
12a,247,1.5,12,247,2,7,315,135,7,8,1.33,1,1,0,0
3a,247,1.5,11,247,1.7,7,315,135,6,7,4.69,1,1,0,0
6a,247,1.5,11,247,4.5,6,180,112,5,6,5.05,1,1,0,0
9a,247,1.5,11,247,5,6,180,157,7,13,2.84,1,1,0,0
12p,247,1.6,11,247,5.5,6,180,180,11,20,3.8,1,1,0,0
3p,247,5.5,6,202,1.6,11,247,180,12,23,6.54,1,1,0,0
6p,247,5,6,202,1.6,10,247,157,10,20,5.43,1,1,0,0
9p,247,5.5,6,202,1.7,10,247,157,11,21,1.63,1,1,0,0
12a,247,4.5,7,315,2,11,292,67,5,5,0.79,2,1,0,0
3a,247,3,11,270,4.5,8,315,90,6,6,0.95,2,1,0,0
6a,247,3,10,292,4,8,315,90,7,8,3.9,2,1,0,0
9a,247,2.5,10,292,4,8,315,90,4,5,5.24,1,1,0,0
12p,247,3,17,292,3.5,8,315,337,5,4,3.68,5,1,0,0
3p,247,4,16,292,3,8,315,337,8,10,3.71,3,1,0,0
6p,247,4.5,15,292,3,8,315,337,5,7,5.94,4,1,0,0
9p,247,5,15,292,2.5,7,315,22,1,2,5.4,5,1,0,0
12a,247,6,12,292,1.3,19,225,157,9,12,3.2,4,1,0,0
3a,247,6,12,292,1.4,19,225,157,10,15,0.03,4,1,0,0
6a,247,5.5,12,292,1.5,18,225,135,11,16,1.58,4,1,0,0
9a,247,5,11,292,6,5,202,135,13,22,5.54,2,1,0,0
12p,247,5,11,292,6.5,6,202,157,17,33,5.32,2,1,0,0
3p,247,8,8,247,3.5,11,292,157,16,30,2.39,1,1,0,0
6p,247,9.5,10,270,1.8,18,225,135,11,16,3.41,3,1,0,0
9p,247,10,10,270,2.5,14,292,90,9,12,6.48,4,1,0,0
12a,247,4.5,9,316,1.2,15,215,65,12,14,4.8,2,,,
3a,247,4,9,316,1.3,15,213,76,12,13,1.5,1,,,
6a,247,3.5,9,316,1.5,15,215,69,13,14,1.2,1,,,
9a,247,3.5,8,316,1.5,15,215,65,8,10,4.6,1,,,
12p,247,3,8,317,1.3,14,214,1,6,7,5.8,1,,,
3p,247,2.5,8,317,1.3,14,216,44,7,10,3.1,1,,,
6p,247,2.5,8,317,1.3,14,218,68,12,13,2.2,1,,,
9p,247,2,8,317,1.2,14,214,74,12,13,4.9,1,,,
12a,247,2,8,318,1.3,14,216,70,12,13,5.7,1,,,
3a,247,1.8,7,318,1.3,14,216,76,12,13,2.6,1,,,
6a,247,1.6,7,317,1.7,4,35,74,11,11,0.9,0,,,
9a,247,1.3,13,216,1.5,7,317,78,4,6,4,1,,,
12p,247,1.3,13,217,1.3,7,316,284,9,6,6.2,0,,,
3p,247,1.3,13,217,1.2,7,316,296,6,7,3.5,0,,,
6p,247,1.2,16,222,1.1,13,215,9,3,3,1.5,1,,,
9p,247,1.2,16,222,1.1,13,214,74,6,6,4.1,1,,,
12a,247,1.1,16,221,1.1,13,216,95,6,6,6,1,,,
3a,247,1.3,16,220,1.1,13,216,110,3,3,3.1,1,,,
6a,247,1.4,15,220,1.3,10,278,73,5,5,1,2,,,
9a,247,1.8,9,275,1.8,15,218,247,0,1,3.7,2,,,
12p,247,2,9,273,1.3,16,219,8,3,3,6.5,1,,,
3p,247,2.5,8,269,1.6,15,220,334,6,6,4.2,1,,,
6p,247,2.5,8,267,1.6,15,220,357,5,6,1.1,2,,,
9p,247,4,9,276,1.5,15,219,353,10,12,3.2,1,,,
12a,247,5.5,9,288,1.8,15,218,5,4,5,6.1,2,,,
3a,247,6.5,9,296,1.7,15,218,16,5,6,4.1,2,,,
6a,247,7.5,10,300,2,13,320,61,2,3,1.2,3,,,
9a,247,7.5,10,303,3,13,320,262,3,4,3.1,3,,,
12p,247,8.5,10,308,1.4,14,218,317,11,13,6.5,1,,,
3p,247,9,11,312,1.3,14,218,345,14,18,4.6,1,,,
6p,247,9,11,315,1.5,14,218,356,10,15,1,2,,,
9p,247,8.5,11,316,1.5,14,218,358,9,15,2.2,2,,,
12a,247,8,11,317,1.4,14,218,345,9,14,5.8,2,,,
3a,247,7.5,11,317,1.4,15,218,34,6,7,4.8,3,,,
6a,247,7,11,317,1.4,15,218,132,7,7,1.7,3,,,
9a,247,6.5,11,316,1.4,15,218,196,3,4,2.9,3,,,
12p,247,6,11,316,1.4,15,218,282,9,7,6.5,2,,,
3p,247,5.5,11,316,1.4,15,218,335,15,16,5.5,0,,,
6p,247,5,10,316,1.4,14,218,51,10,11,1.3,0,,,
9p,247,4.5,10,316,1.4,14,217,80,9,10,1.2,2,,,
